item_id,subset,task,display_label,primary_text,secondary_text,tertiary_text,source_row_id
cecbb2edc060,subset_a,qa_validity,procedural,"Berdasarkan Keputusan Rektor UPI Nomor 922/UN40.R5/KM.06.01/2026, langkah administratif apa yang mendasari penetapan pengurus DPM REMA UPI Tahun 2026?","Langkahnya adalah adanya Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 793/UN40.F11/KM.05.00/2026 tanggal 7 Mei 2026 hal Permohonan SK Dewan Perwakilan Mahasiswa Republik Mahasiswa (DPM REMA) UPI Tahun 2026, yang kemudian menjadi pertimbangan untuk menetapkan Keputusan Rektor.","a. bahwa sesuai dengan Surat Direktur Direktorat Kemahasiswaan dan Alumni Nomor 793/UN40.F11/KM.05.00/2026 tanggal 7 Mei 2026 hal Permohonan SK Dewan Perwakilan Mahasiswa Republik Mahasiswa (DPM REMA) UPI Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;

b. bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a, perlu menetapkan Keputusan Rektor tentang Pengurus Dewan Perwakilan Mahasiswa Republik Mahasiswa Universitas Pendidikan Indonesia Tahun 2026;",b59c2a236c4e10cc
599ccc80d7a5,subset_a,qa_validity,factual,Apa nama peraturan rektor yang mengatur tentang pembagian insentif income generating unit di lingkungan Universitas Pendidikan Indonesia?,Peraturan Rektor Universitas Pendidikan Indonesia Nomor 29 Tahun 2025 tentang Pembagian Insentif Income Generating Unit di Lingkungan Universitas Pendidikan Indonesia,"PERATURAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA
NOMOR 29 TAHUN 2025
TENTANG
PEMBAGIAN INSENTIF INCOME GENERATING UNIT
DI LINGKUNGAN UNIVERSITAS PENDIDIKAN INDONESIA",9ee6d45cfc8699be
79c5f504c9b3,subset_a,qa_validity,factual,Siapa yang bertindak untuk dan atas nama Universitas Pendidikan Indonesia dalam Perjanjian Kerja Sama tentang Penyelenggaraan Program Beasiswa Talenta Digital?,"Bunyamin Maftuh, selaku Wakil Rektor bidang Riset, Usaha, dan Kerja Sama","Bunyamin Maftuh, selaku Wakil Rektor bidang Riset, Usaha, dan Kerja Sama, diangkat berdasarkan Keputusan Rektor UPI No0232/UN40/KP.09.04/2022 Tgl. 07 Feb 2022 tentang Penugasan Wakil Rektor Dan Sekretaris Universitas UPI masa bakti 2020 — 2025, dan Surat Kuasa Rektor Nomor 3546/UN40./HK.07.00/2022 Tanggal 22 Juni 2022 oleh karenanya sah bertindak untuk dan atas nama Universitas Pendidikan Indonesia, berkedudukan di Jalan Dr. Setiabudhi Nomor 229 Kota Bandung, untuk selanjutnya dalam Perjanjian Kerja Sama ini disebut PIHAK KEDUA.",c153911247ae2bb5
7bca4bfdc6b0,subset_a,qa_validity,multi-hop,"Siapa yang mengajukan permohonan penerbitan SK Panitia untuk seminar internasional yang akan diselenggarakan oleh Program Studi PJKR, dan kapan surat permohonan tersebut dikeluarkan?",Surat permohonan diajukan oleh Dekan Fakultas Pendidikan Olahraga dan Kesehatan (disebut juga Fakultas Pendidikan Olahraga dan Pendidikan) dan dikeluarkan pada tanggal 21 April 2026.,"Menimbang : a. bahwa sehubungan dengan akan dilaksanakannya The 6th International Seminar of Physical Education, Sport, and Health Tahun 2026 oleh Program Studi PJKR FPOK UPI, perlu mengangkat panitia dimaksud;
b. bahwa sesuai dengan Surat Dekan Fakultas Pendidikan Olahraga dan Pendidikan Universitas Pendidikan Indonesia Nomor B-2022/UN40.A6/KP.07.07/2026 tanggal 21 April 2026 hal Permohonan Penerbitan Surat Keputusan Panitia The 6th International Seminar of Physical Education, Sport, and Health (6th ISPESH) Tahun 2026, perlu menetapkan Keputusan Rektor dimaksud;",a6f099b5bb0d99c4
8707e431282a,subset_a,qa_validity,multi-hop,"Apa dasar hukum yang melatarbelakangi penetapan Keputusan Rektor tentang Operator Aplikasi Umum Bidang Kearsipan Dinamis di UPI tahun 2026, dan dari surat usulan mana keputusan tersebut berasal?","Dasar hukumnya adalah Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan dan Peraturan Pemerintah Nomor 28 Tahun 2012 tentang Pelaksanaannya, serta surat usulan dari Kepala Kantor Layanan Umum dan Kesekretariatan UPI Nomor B-20/UN40.I7/KP.09.00/2026 tanggal 5 Februari 2026.","a. bahwa sesuai Surat Kepala Kantor Layanan Umum dan Kesekretariatan Universitas Pendidikan Indonesia Nomor B-20/UN40.I7/KP.09.00/2026 tanggal 5 Februari 2026 hal Usulan SK Operator Aplikasi Umum Bidang Kearsipan Dinamis (SRIKANDI), perlu menetapkan Keputusan Rektor dimaksud;

1. Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaran Negara Republik Indonesia Tahun 2009 Nomor 152, Tambahan Lembaran Negara Republik Indonesia Nomor 5071);

3. Peraturan Pemerintah Nomor 28 Tahun 2012 tentang Pelaksanaan Undang-Undang Nomor 43 Tahun 2009 tentang Kearsipan (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 53, Tambahan Lembaran Negara Republik Indonesia Nomor 5286);",b92ac97704b683a7
592368707248,subset_a,qa_validity,multi-hop,Apa fungsi dari Tata Naskah Dinas Elektronik bagi unit kerja di UPI dan di mana ketentuan rincinya dapat ditemukan?,Tata Naskah Dinas Elektronik berfungsi sebagai pedoman bagi unit kerja di lingkungan UPI dalam mengelola naskah dinas elektronik. Ketentuan rincinya tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Rektor ini.,"Pasal 2

(1) Tata Naskah Dinas Elektronik sebagaimana dimaksud dalam Pasal 1 merupakan pedoman bagi unit kerja di lingkungan Universitas Pendidikan Indonesia dalam mengelola naskah dinas elektronik.

(2) Tata Naskah Dinas Elektronik sebagaimana dimaksud dalam Pasal 1 tercantum dalam La.mpiran yang merupakan bagian yang tidak terpisahkan dengan Peraturan Rektor ini.",5256d1f2c1dd5708
4883220d8ede,subset_a,qa_validity,out-of-domain,Apa dasar hukum yang digunakan dalam proses pengadaan barang/jasa di UPI menurut keputusan ini?,Peraturan Presiden Nomor 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah sebagaimana telah diubah kedua kalinya dengan Peraturan Presiden Nomor 46 Tahun 2025.,7. Peraturan Presiden Nomor 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah (Lembaran Negara Republik Indonesia Tahun 2018 Nomor 33) sebagaimana telah diubah kedua kalinya dengan Peraturan Presiden Nomor 46 Tahun 2025 tentang Perubahan Kedua atas Peraturan Presiden Nomor 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah (Lembaran Negara Republik Indonesia Tahun 2025 Nomor 67);,1c634ef380a5da0f
513a00673d78,subset_a,qa_validity,out-of-domain,Sebutkan pasal-pasal dalam KUHP yang mengatur tentang tindak pidana penipuan!,NONE,NONE,da3d204caf163ae3
91025e2444be,subset_a,qa_validity,out-of-domain,Apa saja kewenangan Badan Pengawas Pemilu (Bawaslu) dalam menangani pelanggaran administratif pemilu berdasarkan Undang-Undang Nomor 7 Tahun 2017?,NONE,NONE,844ba6600f79b937
bda209b16f79,subset_a,qa_validity,factual,Surat dari Kepala Badan Pengelola dan Pengembangan Usaha dengan nomor berapa yang menjadi dasar pertimbangan penerbitan Keputusan Rektor ini?,Surat Kepala Badan Pengelola dan Pengembangan Usaha Nomor B-1001/UN40.H1/KP.02.00/2024 tanggal 31 Desember 2024,"a. bahwa sesuai Surat Kepala Badan Pengelola dan Pengembangan Usaha Nomor B-1001/UN40.H1/KP.02.00/2024 tanggal 31 Desember 2024 hal Usulan Pranata Arsip, Pengelola dan Operator Sistem di Lingkungan BPPU Tahun 2025, perlu menetapkan Keputusan Rektor dimaksud;",0e59ac2c01f44eee
