query,label,subtype,split,panel_yes,panel_size
Siapa pejabat yang berwenang menandatangani Peraturan Rektor tentang kemahasiswaan di UPI?,in_domain,direct_upi,calibration,5,5
Di mana saya bisa mengunduh salinan Statuta Universitas Pendidikan Indonesia 2025?,in_domain,direct_upi,calibration,5,5
Apakah UPI memiliki Surat Keputusan Rektor tentang etika penggunaan kecerdasan buatan dalam perkuliahan?,in_domain,direct_upi,calibration,4,5
Peraturan Rektor UPI nomor berapa yang mengatur tentang penyusunan kurikulum program sarjana tahun ini?,in_domain,direct_upi,calibration,5,5
Bagaimana bunyi pasal dalam SK Rektor mengenai pencegahan kekerasan seksual di lingkungan kampus Bumi Siliwangi?,in_domain,direct_upi,calibration,4,5
"Keputusan Senat Akademik UPI terkait pemberhentian guru besar, apakah sudah diunggah di laman JDIH UPI?",in_domain,direct_upi,calibration,4,5
Saya butuh pedoman internal tentang prosedur permohonan cuti bagi dosen dengan status PNS di UPI.,in_domain,direct_upi,calibration,5,5
Adakah regulasi internal yang menetapkan bahwa kendaraan listrik harus mendapat stiker khusus untuk parkir di area rektorat?,in_domain,direct_upi,calibration,4,5
Peraturan yang membahas tentang sumbangan pembinaan pendidikan (SPP) mahasiswa baru UPI jalur SNBT itu termasuk Peraturan Rektor atau SK?,in_domain,direct_upi,calibration,4,5
Sejak kapan Peraturan Rektor tentang organisasi dan tata kerja fakultas di UPI mulai berlaku efektif?,in_domain,direct_upi,calibration,4,5
Apakah MWA UPI pernah menerbitkan ketetapan tentang investasi dana abadi universitas?,in_domain,direct_upi,calibration,4,5
"Jelaskan hierarki peraturan di UPI, mulai dari Statuta sampai pedoman mutu akademik internal.",in_domain,direct_upi,calibration,4,5
Apa saja syarat administratif yang tercantum dalam pedoman UPI agar proposal PKM bisa didanai oleh universitas?,in_domain,direct_upi,calibration,4,5
Seberapa sering JDIH UPI memperbarui koleksi SK Rektor yang sudah diundangkan?,in_domain,direct_upi,calibration,4,5
"Dalam Peraturan Rektor terbaru, batas maksimum masa studi mahasiswa program doktor di UPI itu berapa semester?",in_domain,direct_upi,calibration,5,5
