question_1,question_2,question_3
Biaya kuliah per semester berapa?,Biaya smstr brp ya?,Berapa sih bayaran kuliah per semester?
Kapan jadwal mulai perkuliahan mahasiswa baru?,Kpn msk kuliah maba?,Kapan sih mulai kuliahnya?
Di mana lokasi area parkir kendaraan mahasiswa?,Dmn prkir mtr/mbl mhs?,Tempat parkir kendaraan sebelah mana ya?
Apa saja syarat dokumen untuk daftar ulang?,Apa aj syrt dftr ulg?,Mau daftar ulang butuh berkas apa aja?
Bagaimana tata cara pembayaran uang kuliah?,Gmn cara byr ukt?,Gimana sih cara bayar uang kuliahnya?
Apakah ada program beasiswa untuk mahasiswa baru?,Ada bsw maba gak?,Ada beasiswa buat anak baru gak ya?
Kapan pembuatan kartu tanda mahasiswa dilakukan?,Kpn bwt ktm mhs?,Kapan kartu mahasiswa diproses?
Apa ketentuan pakaian saat kegiatan orientasi?,Apa baju ospek maba?,Pake baju apa pas ospek ntar?
Kapan batas waktu pengisian kartu rencana studi?,Kpn ddl krsan?,Batas krs-an tgl berapa ya?
Bagaimana cara melihat pembagian kelas perkuliahan?,Gmn cek klpk kls?,Ngeliat dapet kelas mana di mana ya?
Bagaimana prosedur untuk mengakses koneksi internet kampus?,Gmn cara konek wifi kmps?,Cara nyambungin ke wifi kampus gimana?
Berapa jumlah maksimal buku yang dapat dipinjam di perpustakaan?,Brp max pinjem bku perpus?,Bisa pinjam berapa buku di perpus?
Bagaimana alur proses pendaftaran ulang secara online?,Gmn alur dftr ulg onln?,Langkah-langkah daftar ulang online gimana sih?
Di mana tempat pengambilan jas almamater kampus?,Dmn ambil alma kmps?,Ambil jas almamater di mana ya?
Kapan batas akhir pembayaran biaya pendidikan?,Kpn ddl bayar ukt?,Terakhir bayar uang kuliah kapan ya?
Bagaimana prosedur pengajuan perpindahan program studi?,Gmn syarat pindh prodi?,Kalo mau pindah jurusan gimana caranya?
Apakah kampus menyediakan fasilitas asrama mahasiswa?,Ada asrama kmps gk?,Ada tempat asrama buat mahasiswa gak?
Apa saja daftar kegiatan unit kegiatan mahasiswa yang tersedia?,Apa aj ukm yg ada?,Di kampus ada ukm atau ekskul apa aja?
Apakah sistem perkuliahan dilaksanakan secara tatap muka?,Kuliah offline atw online?,Kuliahnya masuk tatap muka atau online?
Di mana saya bisa melihat kalender akademik terbaru?,Dmn liat klndr akdmk?,Kalender akademik bisa dilihat di mana ya?
Apa syarat pengajuan skema cicilan pembayaran kuliah?,Syrt ccln ukt ap aj?,Syarat buat nyicil uang kuliah apa aja?
Kapan jam operasional kantor bagian akademik?,Jm brp lynn akdmk buka?,Jam berapa kantor akademik buka?
Di mana lokasi kantin utama di area kampus?,Dmn kntn kmps?,Kantin kampus lokasinya di mana ya?
Apakah ada tarif khusus untuk parkir kendaraan mahasiswa?,Brp tarif prkir mhs?,Parkir kendaraan bayar berapa sehari?
Kapan pengumuman hasil seleksi penerimaan mahasiswa baru?,Kpn pgmmn lls maba?,Pengumuman kelulusan keluar kapan ya?
Bagaimana cara menghubungi layanan bantuan teknis portal mahasiswa?,Gmn hbg helpdesk mhs?,Kontak helpdesk portal kampus berapa ya?
Apa syarat pengajuan cuti akademik semester pertama?,Syrt cti smstr 1 ap?,Anak semester 1 bisa ambil cuti kuliah gak?
Di mana fasilitas rumah ibadah di lingkungan kampus?,Dmn mshl/mjd kmps?,Tempat sholat atau masjid kampus ada di sebelah mana?
Bagaimana prosedur pembuatan kartu anggota perpustakaan?,Gmn bwt ktu perpus?,Cara bikin kartu perpus gimana ya?
Bagaimana cara mendapatkan akun sistem informasi akademik?,Gmn dpt akun sia/lms?,Cara login ke portal akademik mahasiswa gimana?
Apa syarat pengembalian biaya pendaftaran jika mengundurkan diri?,Syrt rfnd dftr ulg ap?,Kalo mundur kuliah bisa refund biaya gak?
Bagaimana syarat pendaftaran stiker izin parkir kendaraan?,Syrt stkr prkir mhs gmn?,Syarat dapet stiker parkir kampus apa aja?
Apa saja daftar mata kuliah yang diambil pada semester satu?,Apa matkul smstr 1?,Semester satu dapet matkul apa aja?
Berapa total beban SKS yang diambil mahasiswa semester awal?,Brp sks smstr 1?,Semester awal dapet berapa SKS ya?
