question,category,ground_truth_answer,source_doc_id,source_context
Berapa nomor Keputusan Rektor yang menetapkan peserta program Outbound Student Mobility ke Universiti Malaysia Sabah pada Semester Ganjil Tahun Akademik 2025/2026?,factual,2529/UN40/KM.02.02/2025,7b0d26a9-aab9-4b15-b7d3-5160e20f455b,"KEPUTUSAN REKTOR UNIVERSITAS PENDIDIKAN INDONESIA
NOMOR 2529/UN40/KM.02.02/2025
TENTANG
PESERTA PROGRAM OUTBOUND STUDENT MOBILITY KE UNIVERSITI MALAYSIA SABAH PADA SEMESTER GANJIL TAHUN AKADEMIK 2025/2026"
Apa saja syarat pengajuan permohonan visa pelajar ke Kedutaan Besar Jepang untuk program pertukaran pelajar?,out-of-domain,NONE,NONE,NONE
Bagaimana prosedur pengaduan sengketa konsumen ke Badan Penyelesaian Sengketa Konsumen (BPSK) berdasarkan Undang-Undang Perlindungan Konsumen?,out-of-domain,NONE,NONE,NONE
Berapa batas maksimum emisi gas buang kendaraan bermotor yang diperbolehkan berdasarkan Peraturan Menteri Lingkungan Hidup dan Kehutanan terbaru?,out-of-domain,NONE,NONE,NONE
Siapa saja anggota Dewan Perwakilan Rakyat Daerah (DPRD) Provinsi Jawa Barat periode 2024-2029 dari daerah pemilihan Kota Bandung?,out-of-domain,NONE,NONE,NONE
Apa saja kewajiban perpajakan bagi pelaku Usaha Mikro Kecil Menengah (UMKM) dengan omzet di bawah Rp500 juta per tahun sesuai peraturan perpajakan yang berlaku?,out-of-domain,NONE,NONE,NONE
Keputusan Rektor nomor berapakah yang diubah melalui Keputusan Rektor Nomor 564/UN40/KP.06.00/2026?,factual,Keputusan Rektor Nomor 326/UN40/KP.06.00/2026,1b3c8b70-9130-4811-9464-673a47598d4f,"KESATU | Mengubah Lampiran Keputusan Rektor Nomor 326/UN40/KP.06.00/2026 tentang Komandan, Kepala Regu, dan Staf Operasional pada Seksi Keamanan, Ketertiban dan Penataan Lingkungan Biro Aset dan Lingkungan Universitas Pendidikan Indonesia Tahun 2026 menjadi sebagaimana tercantum dalam Lampiran Keputusan Rekt…"
Bagaimana prosedur pengajuan permohonan informasi publik kepada Komisi Informasi Pusat berdasarkan Undang-Undang Nomor 14 Tahun 2008?,out-of-domain,NONE,NONE,NONE
Apa saja syarat dan mekanisme pendirian partai politik di Indonesia menurut Undang-Undang Nomor 2 Tahun 2011?,out-of-domain,NONE,NONE,NONE
Bagaimana ketentuan pembagian harta warisan menurut Kitab Undang-Undang Hukum Perdata (KUHPerdata) untuk ahli waris golongan kedua?,out-of-domain,NONE,NONE,NONE
Apa saja kewenangan Badan Pengawas Pemilu (Bawaslu) dalam menangani pelanggaran administratif pemilu berdasarkan Undang-Undang Nomor 7 Tahun 2017?,out-of-domain,NONE,NONE,NONE
"Apa dasar hukum yang digunakan Rektor UPI dalam menetapkan peserta program outbound student mobility ke Prince of Songkla University, dan dari surat permohonan mana keputusan ini diterbitkan?",multi-hop,"Dasar hukumnya meliputi Undang-Undang Nomor 12 Tahun 2012, Peraturan Pemerintah Nomor 4 Tahun 2014, Peraturan Pemerintah Nomor 15 Tahun 2014, Peraturan Pemerintah Nomor 26 Tahun 2015 jo. Peraturan Pemerintah Nomor 8 Tahun 2020, dan Peraturan Pemerintah Nomor 57 Tahun 2021 jo. Peraturan Pemerintah Nomor 4 Tahun 2022. Keputusan ini diterbitkan berdasarkan Surat Direktur Kemitraan dan Urusan Internasional Nomor T-928/UN40.F9/KM.02.02/2026 tanggal 7 Juli 2026.",eaba0626-2f87-4fbc-a93b-2d11e971cc01,"Menimbang
: a. bahwa untuk menciptakan ketertiban, kepastian bagi mahasiswa peserta outbound student mobility yang dilaksanakan oleh mahasiswa Fakultas Pendidikan Matematika dan Ilmu Pengetahuan Alam ke Prince of Songkla University, Tailan, dan sesuai dengan Surat Direktur Kemitraan dan Urusan Internasional Nomor T-928/UN40.F9/KM.02.02/2026 tanggal 7 Juli 2026 hal Permohonan Penerbitan SK Rektor tentang Peserta Outbound Student Mobility Prodi S3 Pendidikan IPA, FPMIPA ke Prince of Songkla University, Tailan pada Semester Ganjil 2026/2027, perlu menetapkan Keputusan Rektor dimaksud;

Mengingat
: 1. Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 158, Tambahan Lembaran Negara Republik Indonesia Nomor 5336);
2. Peraturan Pemerintah Nomor 4 Tahun 2014 tentang Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 16, Tambahan Lembaran Negara Republik Indonesia Nomor 5500);
3. Peraturan Pemerintah Nomor 15 Tahun 2014 tentang Statuta Universitas Pendidikan Indonesia (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 41, Tambahan Lembaran Negara Republik Indonesia Nomor 5509);
4. Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 110, Tambahan Lembaran Negara Republik Indonesia Nomor 5699) sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 8 Tahun 2020 tentang Perubahan Atas Peraturan Pemerintah Nomor 26 Tahun 2015 tentang Bentuk dan Mekanisme Pendanaan Perguruan Tinggi Negeri Badan Hukum (Lembaran Negara Republik Indonesia Tahun 2020 Nomor 28, Tambahan Lembaran Negara Republik Indonesia Nomor 6461);
5. Peraturan Pemerintah Nomor 57 Tahun 2021 tentang Standar Nasional Pendidikan (Lembaga Negara Republik Indonesia Tahun 2021 Nomor 87, Tambahan Lembaran Negara Republik Indonesia Nomor 6676), sebagaimana telah diubah dengan Peraturan Pemerintah Nomor 4 Tahun 2022 tentang Perubahan Atas Peraturan Pemerintah Nomoe 57 Tahun 2021 tentang Standar Nasional Pendidikan (Lembaga Negara Republik Indonesia Tahun 2022 Nomor 14,"
Apa saja syarat pengajuan permohonan hak paten sederhana di Direktorat Jenderal Kekayaan Intelektual?,out-of-domain,NONE,NONE,NONE
Bagaimana prosedur pengangkatan Pegawai Negeri Sipil dalam jabatan fungsional dosen berdasarkan peraturan perundang-undangan yang berlaku secara nasional?,out-of-domain,NONE,NONE,NONE
Berapa tarif terbaru Pajak Pertambahan Nilai (PPN) atas penyerahan jasa pendidikan sesuai dengan peraturan perpajakan nasional?,out-of-domain,NONE,NONE,NONE
Apa saja kewenangan Mahkamah Konstitusi dalam memutus sengketa hasil pemilihan umum kepala daerah?,out-of-domain,NONE,NONE,NONE
Bagaimana tata cara pendaftaran merek dagang untuk usaha mikro kecil menengah secara online?,out-of-domain,NONE,NONE,NONE
Apa tema Program Pemberdayaan Masyarakat Berkelanjutan (P2MB) Semester Genap Tahun Akademik 2025/2026?,factual,"Mahasiswa Berdampak untuk Desa Berkelanjutan: Sinergi Sosial, Budaya, dan Kesehatan dalam Mewujudkan Asta Cita dan SDG’s",ee59dc03-ef6b-42fb-a121-70fe61946805,"bahwa dalam rangka persiapan pelaksanaan Program Pemberdayaan Masyarakat Berkelanjutan (P2MB) dengan tema “Mahasiswa Berdampak untuk Desa Berkelanjutan: Sinergi Sosial, Budaya, dan Kesehatan dalam Mewujudkan Asta Cita dan SDG’s” Semester Genap Tahun Akademik 2025/2026, dan sesuai dengan Surat Direktur Direktorat Penelitian dan Pengembangan kepada Masyarakat Nomor B- 245/UN40.F7/AM.01.00/2026 tanggal 11 Maret 2026 hal Permohonan Penerbitan Keputusan Rektor, perlu menetapkan Keputusan Rektor dimaksud;"
Apa saja syarat pengajuan cuti melahirkan bagi pegawai negeri sipil di lingkungan Pemerintah Kota Bandung?,out-of-domain,NONE,NONE,NONE
Bagaimana prosedur pendaftaran merek dagang di Direktorat Jenderal Kekayaan Intelektual Kementerian Hukum dan HAM?,out-of-domain,NONE,NONE,NONE
Berapa batas maksimum emisi gas buang kendaraan bermotor berdasarkan Peraturan Menteri Lingkungan Hidup dan Kehutanan terbaru?,out-of-domain,NONE,NONE,NONE
Siapa yang bertanggung jawab atas pengelolaan dana kampanye partai politik peserta pemilu menurut Undang-Undang Nomor 7 Tahun 2017?,out-of-domain,NONE,NONE,NONE
